request_id,text,domain,vip,spend30d,eta_to_sla_min,label
180,"Interruptor de luz flojo",m,0,0.0,100,medium
181,"Pintura descascarada en muro",m,0,0.0,200,low
182,"Mancha en alfombra del pasillo",m,0,0.0,180,low
183,"Mesa auxiliar con polvo",m,0,0.0,200,low
184,"Ventana necesita limpieza",m,0,0.0,200,low
185,"Puerta principal con rayón",m,0,0.0,170,low
186,"Cuadro torcido en pared",m,0,0.0,160,low
187,"Espejo con manchas leves",m,0,0.0,190,low
188,"Cortina polvosa",m,0,0.0,200,low
189,"Decoración caída en lobby",m,0,0.0,180,low
190,"Sillón con desgaste visible",m,0,0.0,200,low
191,"Generador se apagó inesperadamente",m,1,900.0,-30,high
192,"Explosión en caldera central",m,0,0.0,-25,high
193,"Sistema eléctrico sobrecargado",m,0,100.0,-15,high
194,"Corto en lámpara de pasillo",m,0,0.0,-10,high
195,"Humo saliendo del tablero eléctrico",m,0,0.0,-18,high
196,"Elevador atrapado entre pisos",m,1,700.0,-20,high
197,"Transformador explotó en azotea",m,0,0.0,-30,high
198,"Fuga de agua mayor en cisterna",m,0,80.0,-12,high
199,"Pared con corriente eléctrica",m,0,0.0,-22,high
200,"Motor de bomba sobrecalentado",m,0,60.0,-8,high
